How I'm knocking them out,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"(extra on one at a time, minimums on the rest)",,,,
,,,,
Order,Debt,Balance,APR,Why
1,Nuisance (Summit Rewards Mastercard),3480,22.99,smallest balance -- knock it out first for the quick win
2,Fury (Meridian Bank Visa Signature),5240,27.99,next smallest
3,Anchor (Liberty Point Lending),7850,14.99,then the personal loan
4,Ghost (Sterling Student Loan Servicing),31430,8.75,biggest one -- save it for last
,,,,
Paying extra on now:,,Nuisance (Summit Rewards Mastercard),,
