posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2026-04-01,2026-04-01,GILLHAM ROW APARTMENTS RENT,Housing,DEBIT,-1250.00,2870.00,,ACH000500001,ACH,Kansas City MO
2026-04-03,2026-04-02,NETFLIX.COM,Subscription,DEBIT,-15.49,2854.51,,POS000500002,POS,Los Gatos CA
2026-04-05,2026-04-04,SPOTIFY USA,Subscription,DEBIT,-11.99,2842.52,,POS000500003,POS,New York NY
2026-04-06,2026-04-06,PLANET FITNESS KC,Subscription,DEBIT,-24.99,2817.53,,ACH000500004,ACH,Kansas City MO
2026-04-07,2026-04-06,HY-VEE #1521,Groceries,DEBIT,-112.83,2704.70,,POS000500010,POS,Kansas City MO
2026-04-08,2026-04-07,APPLE.COM/BILL ICLOUD,Subscription,DEBIT,-2.99,2701.71,,POS000500005,POS,Cupertino CA
2026-04-09,2026-04-08,EVERGY KANSAS CITY,Utilities,DEBIT,-96.40,2605.31,,ACH000500006,ACH,Kansas City MO
2026-04-10,2026-04-09,SPIRE GAS,Utilities,DEBIT,-41.18,2564.13,,ACH000500007,ACH,Kansas City MO
2026-04-11,2026-04-10,KC WATER SERVICES,Utilities,DEBIT,-38.72,2525.41,,ACH000500008,ACH,Kansas City MO
2026-04-12,2026-04-11,GOOGLE FIBER INTERNET,Utilities,DEBIT,-70.00,2455.41,,ACH000500009,ACH,Kansas City MO
2026-04-13,2026-04-12,MINSKYS PIZZA,Restaurants,DEBIT,-31.20,2424.21,,POS000500013,POS,Kansas City MO
2026-04-14,2026-04-14,QUIKTRIP #023,Fuel,DEBIT,-38.90,2385.31,,POS000500015,POS,Kansas City MO
2026-04-15,2026-04-15,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,4361.64,,DEP000500016,ACH,Kansas City MO
2026-04-16,2026-04-16,TRANSFER TO SAVINGS XXXXXX8841,Transfer,DEBIT,-50.00,4311.64,,XFR000500022,XFER,Kansas City MO
2026-04-17,2026-04-17,MERIDIAN BANK VISA PMT AUTOPAY,Credit Card Payment,DEBIT,-104.80,4206.84,,ACH000500018,ACH,Kansas City MO
2026-04-18,2026-04-18,SUMMIT REWARDS MC AUTOPAY,Credit Card Payment,DEBIT,-615.20,3591.64,,ACH000500019,ACH,Kansas City MO
2026-04-19,2026-04-18,ALDI KANSAS CITY,Groceries,DEBIT,-63.55,3528.09,,POS000500011,POS,Kansas City MO
2026-04-20,2026-04-20,LIBERTY POINT LENDING LOAN PMT,Loan Payment,DEBIT,-278.26,3249.83,,ACH000500020,ACH,Kansas City MO
2026-04-21,2026-04-20,CHRISTOPHER ELBOW COFFEE,Restaurants,DEBIT,-14.75,3235.08,,POS000500014,POS,Kansas City MO
2026-04-22,2026-04-22,STERLING STUDENT LOAN SVCG PMT,Loan Payment,DEBIT,-342.00,2893.08,,ACH000500021,ACH,Kansas City MO
2026-04-24,2026-04-23,HY-VEE #1521,Groceries,DEBIT,-88.14,2804.94,,POS000500012,POS,Kansas City MO
2026-04-26,2026-04-25,ATM WITHDRAWAL 12TH & MAIN,ATM,DEBIT,-60.00,2744.94,,ATM000500070,ATM,Kansas City MO
2026-04-30,2026-04-30,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,4721.27,,DEP000500017,ACH,Kansas City MO
2026-04-30,2026-04-28,INTEREST PAID,Interest,CREDIT,0.11,4721.38,,INT000500023,,
2026-05-01,2026-05-01,GILLHAM ROW APARTMENTS RENT,Housing,DEBIT,-1250.00,3471.38,,ACH000500024,ACH,Kansas City MO
2026-05-03,2026-05-02,NETFLIX.COM,Subscription,DEBIT,-15.49,3455.89,,POS000500025,POS,Los Gatos CA
2026-05-05,2026-05-04,SPOTIFY USA,Subscription,DEBIT,-11.99,3443.90,,POS000500026,POS,New York NY
2026-05-06,2026-05-06,PLANET FITNESS KC,Subscription,DEBIT,-24.99,3418.91,,ACH000500027,ACH,Kansas City MO
2026-05-07,2026-05-06,HY-VEE #1521,Groceries,DEBIT,-122.23,3296.68,,POS000500033,POS,Kansas City MO
2026-05-08,2026-05-07,APPLE.COM/BILL ICLOUD,Subscription,DEBIT,-2.99,3293.69,,POS000500028,POS,Cupertino CA
2026-05-09,2026-05-08,EVERGY KANSAS CITY,Utilities,DEBIT,-103.65,3190.04,,ACH000500029,ACH,Kansas City MO
2026-05-10,2026-05-09,SPIRE GAS,Utilities,DEBIT,-37.08,3152.96,,ACH000500030,ACH,Kansas City MO
2026-05-11,2026-05-10,KC WATER SERVICES,Utilities,DEBIT,-38.72,3114.24,,ACH000500031,ACH,Kansas City MO
2026-05-12,2026-05-11,GOOGLE FIBER INTERNET,Utilities,DEBIT,-70.00,3044.24,,ACH000500032,ACH,Kansas City MO
2026-05-12,2026-05-11,JACK STACK BARBECUE,Restaurants,DEBIT,-38.20,3006.04,,POS000500071,POS,Kansas City MO
